"date";"max";"efg";"ezgw";"gavg";"min";"median"
"27.06.2011";89;9,9;9,9;11,3095757575758;-35,35;-3,3
"04.07.2011";88;29;9,9;15,4552095465394;-36,11;0,9
"11.07.2011";100;9,9;9,9;7,98076568265683;-32,6;-1,5
"18.07.2011";64;9,9;9,9;8,14142168674699;-29,75;-7,1
"25.07.2011";109;9,9;7,3;0,88192049808429;-30,55;0
"01.08.2011";250;54;9,9;18,372978825794;-28,6;-10,05
"08.08.2011";250;9,9;9;6,21612060778727;-29,8;-0,1
"15.08.2011";77;45;9,9;19,8233962264151;-28,5;9,9
"22.08.2011";250;9,9;9,28;11,0079007808911;-27,2;2,8
"29.08.2011";80,4;9,9;6,8;6,91130665380907;-27,5;1,4
"05.09.2011";80,4;9,9;4,95;3,5739292543021;-27,5;-1,1
"12.09.2011";79,7;9,9;4;3,74153446647781;-27,5;-6,34
"19.09.2011";78,6;9,9;2,8;1,21908689458689;-26,52;-11,55
"26.09.2011";250;9,9;0,1;1,28240066857689;-27,25;-12,4
"03.10.2011";250;9,9;1,34;0,945460155490768;-28,1;-16
"10.10.2011";250;9,9;9,9;5,85782383665717;-28,55;-7
"17.10.2011";350;9,9;9,9;1,21394506562956;-28,57;-7,1
"24.10.2011";500;9,9;2,8;4,35566361003861;-29,14;-17,3
"31.10.2011";500;9,9;9,9;5,90243031784841;-29,6;-2,96
"07.11.2011";500;9,9;9,9;5,65486577181208;-29,99;-0,75
"14.11.2011";77,7;9,9;8,75;-2,21375303840545;-30,55;-8,5
"21.11.2011";500;9,9;0,66;-4,33560407569141;-32,4;-26,95
"28.11.2011";500;9,9;1;-4,15757575757576;-35,05;-16,8
"05.12.2011";500;9,9;2,8;-4,76263757115749;-36,15;-9,2
"12.12.2011";500;9,9;8;7,41757648183557;-37,05;-5,21
"19.12.2011";499;9,9;1;17,3713732057416;-36,7;-4,6
"26.12.2011";499;9,9;9,9;25,8387549883991;-36,7;-9,1
"02.01.2012";500;9,9;9,9;13,7330575304022;-36,7;-9,74
"09.01.2012";375;9,9;4;7,46969565217391;-31,74;-12,55
"16.01.2012";500;9,9;-3,8;2,19540147669589;-31,8;-11,55
"23.01.2012";500;9,9;6,4;3,58096609382257;-31,8;-14,185
"30.01.2012";99,96;9,9;-1,9;-4,62879794200187;-31,8;-17,4
"06.02.2012";500;9,9;4,4;-1,9765344664778;-31,8;-18
"13.02.2012";99,92;9,9;-2;-5,83490268767377;-32,5;-19
"20.02.2012";99,92;9,9;1;-3,57153237074989;-33,01;-10,5
"27.02.2012";99,92;9,9;0,5;-4,68383254716982;-33,02;-10,05
"05.03.2012";189,9;77;9,9;43,1933988945187;-33,04;0,5
"12.03.2012";181;91;9,9;50,4490379981464;-33,12;9,9
"19.03.2012";163,8;20,9;8,72;18,9137541436464;-32,2;-0,7
"26.03.2012";225,8;91,2;20;55,5272591549296;-30,2;-1,003
"02.04.2012";500;45;18,89;39,6258641255605;-25,2;5,7
"09.04.2012";500;45;33,84;42,7488394724875;-24,8;-5,1
"16.04.2012";350;28,75;16;22,0901538461538;-23,8;-5,95
"23.04.2012";200,5;39;18,45;38,6353366651522;-23,45;-8,1
"30.04.2012";199,7;30;13,74;38,255166432255;-23,45;-3,4
"07.05.2012";500;29;13;38,3034189995411;-24;4,45
"14.05.2012";500;138;24,6;59,3041822429906;-24,3;5,7
"21.05.2012";500;105,5;69;62,4136861481822;-22,7;3,25
"28.05.2012";500;97,9;19,64;46,5333957845433;-23;0,2
"04.06.2012";500;104,8;65;71,8599071494893;-22,1;7,75
"11.06.2012";500;88,59;54;51,4612373037858;-22,2;8,65
"18.06.2012";500;84,5;32;52,8517173607861;-24,2;2,6
"25.06.2012";500;80;32,2;54,0831740139211;-24,3;1,4
"02.07.2012";500;89;32;49,3646644767715;-24,35;-0,65
"09.07.2012";500;93;59,7;57,5100604089219;-23,1;11,95
"16.07.2012";500;63,4;49,9;48,6369234296194;-24,3;50,4
"23.07.2012";500;45,5;18,25;42,0409294722092;-18,75;-0,4
