"date";"max";"efg";"ezgw";"gavg";"min";"median"
"27.06.2011";4034;885;718;809,156177156177;350;617
"04.07.2011";1132;898;856;818,085441527446;450;784
"11.07.2011";1143;840;811;816,477398523985;575;787
"18.07.2011";1120;799;795;819,722891566265;587,7;774
"25.07.2011";2498;784;779;789,458572796935;567;740
"01.08.2011";1205;698;685;743,480750721848;599,4;691
"08.08.2011";1207;668;650;692,051044634378;488;624
"15.08.2011";1197;547;491;623,760849056604;476;505
"22.08.2011";1197;511;468;551,35280202113;288;431,02
"29.08.2011";1795;660;494;566,973264223722;310,4;408
"05.09.2011";1795;734;598;635,001935946463;361,8;507
"12.09.2011";1795;795;775;769,554721435316;411,53;647,5
"19.09.2011";14920;811;803;1156,26858974359;429,9;732,4
"26.09.2011";9451;830;817;1026,23975644699;498,3;752
"03.10.2011";890;792;782,5;748,16324101069;485,35;738
"10.10.2011";935;778,7;774;754,335351377018;525,15;729
"17.10.2011";750;736,5;732;709,209601361206;514,4;711
"24.10.2011";708,5;685,1;680;670,255357142857;546,87;673
"31.10.2011";630;614;592,01;587,092665036675;500;586,125
"07.11.2011";549,5;538;531;527,08257430489;440;525
"14.11.2011";575;493;489;459,832790471561;364;431
"21.11.2011";905;541;427;457,737384764677;323;399,9
"28.11.2011";541,25;489;471;458,035281385281;318;450
"05.12.2011";484;452;433;428,647082542695;320,4;420
"12.12.2011";444;425;423;415,787786806883;313,6;411
"19.12.2011";403,9;387;384;378,528732057416;313,6;367
"26.12.2011";494;360;356;379,736450116009;289;335
"02.01.2012";23738;492;489;1862,53557062675;269;326
"09.01.2012";990;688;444;532,103561517114;280;391,315
"16.01.2012";796;653;558,6;566,803368712506;330;490,76
"23.01.2012";734;671;619;595,056688341849;363,2;572,5
"30.01.2012";642;608;598;570,962885874649;374,8;573,32
"06.02.2012";582;552,4;543;523,724433427762;350;518
"13.02.2012";850;505;495;506,728243744208;375;481,82
"20.02.2012";952;587;465,8;521,084326967862;369,9;430,4
"27.02.2012";898;673;559,6;560,124316037736;364;462,5
"05.03.2012";995;487;449,11;516,280515891294;390;445,5
"12.03.2012";956;378;376;468,534986098239;244;373,5
"19.03.2012";656;308;268;326,885842541436;155;258
"26.03.2012";799;218;204;274,104718309859;117;193,5
"02.04.2012";804;222;205;339,586905829596;74;172,5
"09.04.2012";795;559,76;488;472,67482946794;118;349,46
"16.04.2012";789;468;439,76;431,109569045412;123;357
"23.04.2012";510;446;429;418,302112676056;157,05;390
"30.04.2012";460;442;427,5;397,568565400844;273;382
"07.05.2012";5922;458;429;524,342840752639;244;391,91
"14.05.2012";2610;463;413;533,18773364486;288;408
"21.05.2012";988;421;412;457,372572480442;344,1;409
"28.05.2012";945;456;411;450,35318501171;327;384,55
"04.06.2012";905;406;400;444,915831012071;347;395,455
"11.06.2012";865;384;364;413,190050784857;287;352
"18.06.2012";855;335;321;368,377702386523;272;313
"25.06.2012";5950;282;275;573,427958236659;207;271
"02.07.2012";2590;235;232;423,20579540122;190;225,53
"09.07.2012";1595;211;197;308,209595724907;150;189,55
"16.07.2012";1593,5;175;173;304,022008253095;151;171
"23.07.2012";1547,5;156;153;269,754530593181;108;145
"30.07.2012";1530;126;123;224,061093023256;105;121
"06.08.2012";996;115;113;216,013644646925;90;109,5
"13.08.2012";873;98,25;89;168,914474885845;74,25;88,455
"20.08.2012";809;75,6;71;140,338005452067;52;73
"27.08.2012";815;54;53,76;141,553133453562;44;52
"03.09.2012";4857,68;384;195;363,386889304064;19;42,075
"10.09.2012";4495;590;439;622,410515746235;39;303
"17.09.2012";1334;697;616,66;615,798997214485;62;578
"24.09.2012";1045;709;667,3;655,713487511563;198;627,27
"01.10.2012";1999;810;731;774,620320930233;249;680
"08.10.2012";1187;950;901;864,052129798903;350;859,045
"15.10.2012";1025;902;867;848,722113122172;484;842
"22.10.2012";959;831;799;800,930799817185;484;780
"29.10.2012";912;815;794;789,19956660584;532,8;773,25
"05.11.2012";808;775;760;752,630307136405;564;748
"12.11.2012";2485;761;725;792,160049728752;598,4;702,09
"19.11.2012";806;778;750;745,332705667276;589;728,82
"26.11.2012";784;724;710,91;708,792912087912;486;703,865
"03.12.2012";704;650;646;643,535501392758;477;636
"10.12.2012";655;588;578;579,50542081448;470;557
"17.12.2012";795;588;542;560,080427708043;411;512,5
"24.12.2012";1049;751;720;707,388050139276;388;620
"31.12.2012";20001;920;824;2546,64438780155;477;793
"07.01.2013";2350;901;840;992,093519630485;420;805
"14.01.2013";1722;824;804;911,892368064953;447;743
"21.01.2013";1622;739;728;832,504131847725;489;688
"28.01.2013";1460;665;652;743,950973782772;497;637
"04.02.2013";1378;652;630;716,589764816557;497;604,55
"11.02.2013";1325;644;630;695,656624942049;431;617,635
"18.02.2013";1180;618;604;665,912593967517;441;571
