"date";"max";"efg";"ezgw";"gavg";"min";"median"
"27.06.2011";170;25;6,9;34,9530418250951;-24,12;6,7
"04.07.2011";156;6,9;6,9;26,5736233269599;-24,25;6,4
"11.07.2011";151;118;6,9;40,7960896518836;-24,55;4,7
"18.07.2011";148;15;6,9;31,8042380952381;-19,65;4,8
"25.07.2011";143;6,9;4,41;22,0646933962264;-10,15;4
"01.08.2011";250;64;6,9;31,0667068466731;-8,55;2,8
"08.08.2011";250;6,9;6,8;14,2707958313595;-8,62;4,5
"15.08.2011";77;36,8;6,9;19,7013397129187;-8,74;6,35
"22.08.2011";250;6,9;6,9;13,4141822541966;-8,62;4,3
"29.08.2011";80,4;6,9;6,7;10,5702679830748;-8,62;1,8
"05.09.2011";80,4;6,9;4;8,43448589191774;-10,1;1,27
"12.09.2011";79,6;6,9;4;9,15800573888092;-14,4;0,9
"19.09.2011";79,6;6,9;3,45;5,06107729468599;-15;-0,5
"26.09.2011";250;6,9;2,95;3,38362019230769;-21,1;-0,5
"03.10.2011";250;6,9;2,85;6,02986321446019;-22,41;-0,725
"10.10.2011";250;36,4;6,9;14,3375085158151;-22,41;-0,5
"17.10.2011";350;6,9;6,9;6,79348973607038;-20,61;-0,5
"24.10.2011";500;6,9;6,9;12,1877339181287;-21,28;-0,7
"31.10.2011";500;6,9;0,2;3,79322378937471;-25,2;-3,58
"07.11.2011";500;33;6,9;9,47239210910862;-25,8;-0,7
"14.11.2011";500;6,9;-0,7;-2,08834780487805;-26,25;-5,4
"21.11.2011";500;6,9;4,8;-2,05192474674385;-27,22;-4,56
"28.11.2011";500;6,9;4;-1,41994696239151;-27,45;-4,78
"05.12.2011";500;6,9;6,12;5,39128400954654;-29,4;-0,9
"12.12.2011";499;9,88;6,9;24,9607094594595;-29,94;-0,7
"19.12.2011";499;6,9;6,9;28,7121241513094;-30,01;-2
"26.12.2011";499;9,95;6,9;35,0890974555929;-26,01;-2
"02.01.2012";500;6,9;6,9;20,1417943661972;-26;-2
"09.01.2012";425;6,9;6,9;22,3767682363804;-20,3;3,85
"16.01.2012";500;6,9;6,9;13,6918054654933;-20,3;2,7
"23.01.2012";500;6,9;6,9;20,9557102539981;-20,3;5,45
"30.01.2012";500;6,9;6,9;18,2887593283582;-20,3;3,69
"06.02.2012";97;6,9;6,9;12,8946965452848;-21;-1,15
"13.02.2012";97;7,9;7,9;10,6127090823084;-23,01;0,5
"20.02.2012";98,1;7,9;7,9;11,7774552309142;-22,9;-2,4
"27.02.2012";99,71;7,9;7,9;10,7187152133581;-22;0
"05.03.2012";157,6;38;7,9;26,1416690042076;-24;0,4
"12.03.2012";208,8;92,1;7,9;47,6326671348315;-23;2,35
"19.03.2012";176,5;17,9;14,9;25,9840233426704;-22,48;3,1
