"date";"max";"efg";"ezgw";"gavg";"min";"median"
"27.06.2011";4260,8;1705;1654,9;1640,36121673004;800;1604,5
"04.07.2011";2335;1867;1823;1761,35420650096;1100;1786
"11.07.2011";2529;1990;1960;1901,37453505007;1300;1770
"18.07.2011";2529;2016;1983;1977,77142857143;1450;1922
"25.07.2011";5131;1975;1970;1982,3;1650;1937
"01.08.2011";2556;1881;1824;1913,23288331726;1753;1834
"08.08.2011";2553;1813;1806;1847,52629085741;1568;1750
"15.08.2011";2549;1616;1537;1699,0019138756;1516;1537,5
"22.08.2011";2225;1578;1527;1578,10227817746;1203;1419
"29.08.2011";2078;1513;1487;1500,94924776681;1050;1372,73
"05.09.2011";9440;1386;1381;1568,22192730751;1087;1373,365
"12.09.2011";8010;1318;1313;1495,80045432807;1100;1253
"19.09.2011";14980;1361;1210;1901,47442028986;1044;1171
"26.09.2011";11345;1586;1263;1864,53608173077;1025,9;1200
"03.10.2011";1725;1651,3;1626;1492,37308255984;1077;1376,5
"10.10.2011";1996;1650;1636;1600,39072992701;1221;1539
"17.10.2011";1713,9;1622;1616;1559,95373900293;1250;1532
"24.10.2011";1831;1523;1505;1528,42497563353;1300;1470,5
"31.10.2011";2015;1392,5;1386;1427,4605077574;1229;1341
"07.11.2011";2646;1215;1212;1321,17506088651;1127;1210
"14.11.2011";1915;1138;1049;1163,92148780488;910;1022,365
"21.11.2011";2051;1184;1001;1143,56935359383;792;972,73
"28.11.2011";2051;1133;1119;1187,08702989392;797;1053
"05.12.2011";2051;1071;1059;1178,76613365155;839;1025,46
"12.12.2011";1941;997;995;1129,30842181467;809;977,635
"19.12.2011";1920;948;945;1081,95346750727;828;894
"26.12.2011";1910;935;928;1073,08931829093;749;880
"02.01.2012";1910;1366;1361;1190,25448356808;750;880
"09.01.2012";1915;1498;1493;1334,14374422899;800;1109,115
"16.01.2012";1760;1599;1463,44;1393,13564150069;842;1280
"23.01.2012";1626;1591;1415;1395,26107714017;944;1330
"30.01.2012";1577;1573;1522;1436,66513526119;1000;1377,775
"06.02.2012";1525;1400;1396;1395,87212885154;1078;1373,775
"13.02.2012";1268;1234,5;1233;1214,15543992431;1080;1202,5
"20.02.2012";1449;1082;1045,46;1084,9962535344;960;1050,455
"27.02.2012";1455;932;925;996,524976808905;817;922
"05.03.2012";1455;821,91;818;914,688662926601;644;790,13
"12.03.2012";1476;683;666;798,461423220974;588;663
"19.03.2012";686;581;575;567,615966386555;459;547
"26.03.2012";799;455;442;483,897458791209;388;432
"02.04.2012";1700;689;470;622,565947075209;294;398
"09.04.2012";1695;1272,75;1045,5;1075,33312471025;329;787,955
"16.04.2012";1759;1246;1215;1175,13133982383;397;1027,27
"23.04.2012";1750;1229;1219;1185,65284590467;417;1003,205
"30.04.2012";8763;1394;1364;1480,56302250804;688;1186,68
"07.05.2012";4876;1411;1402;1487,73323227612;788;1290
"14.05.2012";8864;1549;1541;1688,04137931034;987;1376
"21.05.2012";1945;1771;1725;1579,04094927873;1088;1393
"28.05.2012";10250;1850;1823;2036,23346276839;1268;1619
"04.06.2012";2085;1922;1889;1826,07338785047;1389;1695,23
"11.06.2012";2074;1797;1791;1788,95257370145;1419;1732,5
"18.06.2012";2093;1672;1661;1707,58801385681;1418;1638
"25.06.2012";10001;1536;1528;2122,84541723666;150;1517
"02.07.2012";8755;1486;1483;1891,2275742115;1147;1381
"09.07.2012";7490;1563;1455;1607,47526608052;1178;1378
"16.07.2012";6701;1559,9;1462,16;1897,20688472095;1301;1422,27
"23.07.2012";5802,5;1556;1509;1804,47315030247;1350;1482,41
"30.07.2012";4665;1584;1556;1793,44251732102;1401;1525,46
"06.08.2012";4160;1611;1587;1806,73581986143;1400;1498
"13.08.2012";3794;1663;1623;1766,67280578898;1449;1535,5
"20.08.2012";3512;1678;1657;1781,17601946247;1385;1560
"27.08.2012";3001;1696;1633;1727,14457364341;379;1591
"03.09.2012";2878;1633,37;1600;1726,15969529086;1420;1589,5
"10.09.2012";2655;1636;1610;1707,41247575058;1444;1579,5
"17.09.2012";2236;1598;1579;1632,19316721006;1425;1564
"24.09.2012";2005;1527,27;1522;1558,11753109166;1404;1518
"01.10.2012";2012;1481,8;1472,3;1529,30199547511;1299;1466
"08.10.2012";1911;1459,1;1452,1;1507,27343012704;1323;1444
"15.10.2012";1698;1416;1395;1411,85294036697;1288;1376,73
"22.10.2012";1577;1353;1347;1360,59188550659;1198;1327,135
"29.10.2012";1481;1269;1264;1278,60474388556;1140;1254,55
"05.11.2012";1377;1178;1172;1190,14446139621;1075;1148,5
"12.11.2012";1370;1069;1066;1114,68815405652;966;1060
"19.11.2012";1335;946;943;1018,99670903314;877;941
"26.11.2012";1310;899;841;920,704351351351;701;822,135
"03.12.2012";1410;1209;825;966,167732053041;683;792
"10.12.2012";1462;1187;987;1034,22435223605;675;923
"17.12.2012";1734;1380;1232;1190,13722763097;788;1107
