"date";"max";"efg";"ezgw";"gavg";"min";"median"
"27.06.2011";283;161;118;143,375832948777;72;95,5
"04.07.2011";278;143,6;109;142,92283490566;72;96
"11.07.2011";300;228,9;100;152,169365375642;70,7;94,3
"18.07.2011";300;217;178;163,617118644068;70,9;94,4
"25.07.2011";300;99;95;109,436939791761;69,88;88
"01.08.2011";267;198;158;139,905339622642;68,218;73,9
"08.08.2011";300;117;96;108,565381491974;64,698;82
"15.08.2011";283,8;214;134;143,813146853147;63,8;96,75
"22.08.2011";300;128,25;126;115,636844705882;64,247;93,85
"29.08.2011";300;129;127,7;135,616327307326;63,48;114
"05.09.2011";300;129;122;148,797462406015;63,87;120,1
"12.09.2011";300;144,3;119;149,018650234742;66;109,9
"19.09.2011";300;180;103,48;138,14182464455;66,44;103,42
"26.09.2011";300;193,6;125;148,872588951311;65,93;98,055
"03.10.2011";399,84;224;123;160,255488750598;72,19;98,6
"10.10.2011";399,84;194,3;123;152,426581451225;74,95;99
"17.10.2011";399,82;170;163,9;154,580816326531;74,85;128
"24.10.2011";300;195,6;164,5;159,386605714286;79,73;120
"31.10.2011";272;147;129;137,714374881964;78,2;114,05
"07.11.2011";300;195,5;165,1;165,604687353079;79,8;125
"14.11.2011";350;172;145,1;159,760882891566;79,8;120,8
"21.11.2011";450;269;194,3;196,491201542912;79,8;131,5
"28.11.2011";397;192,8;145,2;172,414079769342;92;126
"05.12.2011";397;193,2;144,6;182,427222753346;92,8;120
"12.12.2011";395;228,2;143;169,126368396002;97,78;120
"19.12.2011";395;221,2;169,43;170,764987951807;95;109
"26.12.2011";378;172,4;118;153,778903256705;85;106,9
"02.01.2012";347;269,7;253,3;207,313653754185;88;147,95
"09.01.2012";347;248,73;215,9;178,632579421527;92;175
"16.01.2012";346,96;243,4;198,6;167,642651228733;92,08;198,6
"23.01.2012";330;240,1;189,8;175,439774472169;90,9;139
"30.01.2012";377,9;183,1;173,2;157,038266288952;89,9;136,5
"06.02.2012";359,9;183,1;178,4;165,490319199619;88,7;123
"13.02.2012";682,7;566,9;256;331,478736543909;93,04;245,6
"20.02.2012";600;287;249,8;233,757747408106;94;238,65
"27.02.2012";450;257,1;198,9;207,207887111947;91;195
"05.03.2012";360;185,6;140;174,14450094518;89,85;122,5
"12.03.2012";360;316,8;152,4;192,723678657074;89,247;112,73
"19.03.2012";360;298,52;110;178,836770098731;88,98;101,8
"26.03.2012";360;131;96,748;153,479947842579;86,9;96,474
"02.04.2012";360;276,76;90,1;155,28852661597;82,918;89,22
"09.04.2012";360;248;91;159,483959827834;78,6;84,9
"16.04.2012";360;227,45;220,1;185,588393364929;77;88,8
"23.04.2012";340,7;313,5;216;212,052760590195;75,971;162
"30.04.2012";360;209,5;194,36;171,170807984791;74,51;186,2
"07.05.2012";360;322,1;270;238,22417561887;73,2;212,25
"14.05.2012";390;213,3;187;182,152954653938;72,4;171
"21.05.2012";390;249;178;175,559829464709;71,63;125,9
"28.05.2012";390;208;192,4;165,131333333333;71,5;109,6
"04.06.2012";390;143,5;128;139,837071797278;71,5;100
"11.06.2012";390;140;105;133,525477099237;71;88
"18.06.2012";390;135;94;124,764426308209;68,1;81
"25.06.2012";390;221;112;140,195324427481;65,9;80,9
"02.07.2012";390;325,1;275,4;224,750695443645;64,9;196,6
"09.07.2012";351,9;273,9;221;200,299526515152;64,73;175,1
