"date";"max";"efg";"ezgw";"gavg";"min";"median"
"27.06.2011";1037;937;876,7;841,876326718966;450;826
"04.07.2011";937;911;904;858,86891509434;500;874
"11.07.2011";904;882;874;844,428558096127;680;840,5
"18.07.2011";865;851;843;825,71252354049;700;813
"25.07.2011";838;823;798;793,617926663649;700;779,5
"01.08.2011";750;745;742;739,910377358491;705;741
"08.08.2011";702;689;664;663,174617563739;522;663
"15.08.2011";573;557;552;554,340326340326;536;551
"22.08.2011";556;526;503,35;478,957741176471;249;460
"29.08.2011";526;505;502,35;477,831398667935;319;458
"05.09.2011";500;492;487;471,725563909774;369;460
"12.09.2011";466;457;454;447,765258215962;388;444,5
"19.09.2011";441;436;424;417,421706161138;371;407,84
"26.09.2011";428;414,5;405;403,675842696629;344;398,8
"03.10.2011";437;390,8;387,6;381,870272857827;338;383
"10.10.2011";394;389,9;385;381,219053339741;343;381
"17.10.2011";380,9;372;364;358,611058376839;320;350
"24.10.2011";347;341;328;325,321761904762;310;328
"31.10.2011";294;291;286,59;275,666699716714;222;277,5
"07.11.2011";235;226;224;222,518288669488;163;223
"14.11.2011";213;178;173;171,610120481928;118;167,5
"21.11.2011";235;178;175;178,081726133076;106;165,81
"28.11.2011";220;196;182;181,948101874099;122;175,5
"05.12.2011";211;192;182;178,087476099426;122;179
"12.12.2011";184;180;178;175,555449785816;138;176
"19.12.2011";164;159;156;152,761927710843;124;149
"26.12.2011";151;138;132;133,688697318008;107;130,5
"02.01.2012";128;120;112;111,010616929699;95;113,4
"09.01.2012";110;105;103;97,806875296349;80;96
"16.01.2012";92;90;87;86,1716918714556;75;85
"23.01.2012";73;71,9;70;67,182773512476;44;69,46
"30.01.2012";62;57;52;50,1413031161473;39,44;47,645
"06.02.2012";589;49,96;48;116,502143878037;24;45
"13.02.2012";381;198;142;142,879839471199;34;104
"20.02.2012";166;139;126;115,304901036758;44;108,3
"27.02.2012";106;82;78;72,8339604891816;40;75,5
"05.03.2012";74,8;69;58;55,7682892249527;27;58
"12.03.2012";60,4;54,9;52;46,5826858513189;22;43,64
"19.03.2012";38;36;35;31,5058298072402;22;34
"26.03.2012";141,9;24;21,2;33,0552394499763;5;20,4
"02.04.2012";159;52;38;52,1208174904943;23;40,5
"09.04.2012";177;143;124;106,011286465806;28,8;92
"16.04.2012";175;131;122;112,636966824645;28;119
"23.04.2012";119;116;113;106,88291289862;37,8;111
"30.04.2012";118;94;85;81,9296577946768;40;69,5
"07.05.2012";84;75;74;70,6440915460065;44;73
"14.05.2012";96;72;56,5;59,2426730310262;30;47
"21.05.2012";184;150;72;97,3050686878257;37;63
"28.05.2012";197;182;110;115,761428571429;49;93
"04.06.2012";181;170;132;128,044580009385;68;121
"11.06.2012";222;147;121;128,427480916031;69;119
"18.06.2012";229;167;151;143,299471915506;70;144,5
"25.06.2012";230;186;165;165,109255725191;97;161
"02.07.2012";178;170;168;165,156354916067;117;166
"09.07.2012";124;121;120;109,918039772727;79;117,5
"16.07.2012";195;128,32;81,66;98,5928503787879;46,7;71,52
"23.07.2012";194;139;117;117,427938432836;47;107
"30.07.2012";188;151;126;129,423222748815;87;120,5
"06.08.2012";196;163;138;137,038752362949;87;133
"13.08.2012";137;123;119;120,449247412982;99;119
"20.08.2012";120;97;94;95,1806146572104;70;91,5
"27.08.2012";96;88;79;79,4298031865042;59;76
"03.09.2012";150;98,55;77;88,2455269320843;52,99;72
"10.09.2012";165;126,93;109,62;108,727186311787;62;98,54
"17.09.2012";165;133;120;118,028349056604;72;112
"24.09.2012";129,73;116;113;109,554227336778;74;109
"01.10.2012";221;118;111;114,468422284644;76;98,24
"08.10.2012";250;164;141;139,574110486891;81,18;132
"15.10.2012";319;207;193;192,067922750824;97;180
"22.10.2012";257,56;228;218;205,572581406324;114,44;211
"29.10.2012";243;226;219;206,515876777251;145;192
"05.11.2012";219;204;200;194,341184701493;137;191
"12.11.2012";185;177;175;171,507169722614;124;173
"19.11.2012";152;142;140;139,470257611241;107;138,5
"26.11.2012";118;111;109;108,452009456265;76;108
"03.12.2012";85;81;79;78,4741541353384;49;78
"10.12.2012";59;55;53;51,7561656584458;36;51
"17.12.2012";76;47;36;41,4978823529412;18;32
"24.12.2012";91;61;49;52,424524361949;19,9;44,78
"31.12.2012";90;71;67;64,6386278195489;26;63,5
"07.01.2013";80;69;66;62,7210280373832;35;63
"14.01.2013";410;72;65;110,845904673762;34;61,5
"21.01.2013";410;186,4;143;160,838606143971;43;134
"28.01.2013";366;269;201;205,57963568426;53;175
"04.02.2013";456;298;256;248,633241758242;83;239
"11.02.2013";390;330;317;287,723483094025;149;301
"18.02.2013";379;300;283;282,647548566142;168;276
"25.02.2013";297,97;271;265;262,300813575081;178;264,5
"04.03.2013";240;209;201;200,535243292406;117;196
"11.03.2013";155;150;148;141,835354477612;97;142,5
"18.03.2013";210;93;87;95,0009306654258;47;84
"25.03.2013";236;139;130;130,203712296984;33;124,5
"01.04.2013";363;203,2;179;187,429095915558;47;160,82
"08.04.2013";344;227;207;206,342376052385;110;204
"15.04.2013";461;308;274;273,660930232558;149;236
"22.04.2013";721;408;393;386,550770308123;179;362,5
"29.04.2013";540;469;444;426,313625866051;242;412
"06.05.2013";461;441;436;411,029026217228;247;423
"13.05.2013";416;367;364;353,109716410972;267;356,5
"20.05.2013";457;368;349;353,609867519415;253;336
"27.05.2013";485;399;384;384,644106813996;307;372
"03.06.2013";534;431;413;415,109040074557;302;402
"10.06.2013";550;468;454;451,436691312384;343;445,5
"17.06.2013";553;496;478;469,192876965772;351;472
"24.06.2013";630;550;519;511,733612273361;378;486,5
"01.07.2013";894;612;578;584,69228219697;444;545
"08.07.2013";971;720;677;666,643536121673;475;622
"15.07.2013";964;781;748;745,203660253402;595;715
"22.07.2013";900;831;804;790,84724857685;583;784,5
"29.07.2013";909;826;817;807,531412376004;630;793
"05.08.2013";1531;870;851;861,852062588905;697;835
"12.08.2013";1061;965;936;925,592732420953;725;897,5
"19.08.2013";1015;953;911;902,322657743786;750;892
"26.08.2013";910;877;874;868,663489037178;749;871
"02.09.2013";831;815;808;791,349360795455;698;787
"09.09.2013";727;706;701;697,748225272125;620;699
"16.09.2013";853;634;608;641,184818481848;501;600
"23.09.2013";987;829;758;760,596007604563;550;709,5
"30.09.2013";974;897;832;817,958614051973;616;789
"07.10.2013";1008;911;872;864,053453169347;680;841,5
"14.10.2013";1035;924;898;888,907780979827;745;877,5
"21.10.2013";1054;957;942;935,465799614644;844;925
