"date";"max";"efg";"ezgw";"gavg";"min";"median"
"27.06.2011";272;164;142;149,486490740741;73;99,99
"04.07.2011";271;199;147,5;149,483628192999;72;98,8
"11.07.2011";300;188;169;149,493956252972;73,4;99,5
"18.07.2011";300;186;182;158,3357048562;76,1;97
"25.07.2011";300;178,9;93,3;118,284631828979;74,8;82,5
"01.08.2011";300;212;161;143,075495537811;71,92;76,4
"08.08.2011";300;148;80;113,916475023563;67,37;79
"15.08.2011";283,8;214;134;141,950616113744;64,8;72,49
"22.08.2011";300;126;124;117,074348441926;64,77;80
"29.08.2011";333;124,5;124;134,342364990689;64,23;117
"05.09.2011";300;147;122;148,147823033708;64,7;115,9
"12.09.2011";285,6;138;122,5;142,161051149695;66,229;109
"19.09.2011";300;184;113,13;142,907604509159;66,4;103,075
"26.09.2011";300;184;118,5;143,388192090395;67,1;97,35
"03.10.2011";394,96;199,9;172,9;155,740949120304;72,19;96,1
"10.10.2011";394,96;194,3;124;153,997087885986;74,95;97
"17.10.2011";394,86;193,1;166,9;158,496957108434;69;107,675
"24.10.2011";394,86;224,9;189;177,044526011561;78,2;94,7
"31.10.2011";294;168,3;162,8;149,054819219791;78,2;116,1
"07.11.2011";348;195,5;168,8;172,070711345141;81,8;137
"14.11.2011";314;175;159,6;159,163908265647;69;113,9
"21.11.2011";441;284;156,5;177,692559241706;69;106,1
"28.11.2011";441;164,2;149,75;167,559294117647;69;105,2
"05.12.2011";397;158;154,8;158,985118259224;69;105
"12.12.2011";349;242,7;153;167,388633776091;69;105
"19.12.2011";330;238,5;144,8;160,265074770863;69;101,4
"26.12.2011";379;247,5;194,5;174,629853010906;69;98,45
"02.01.2012";375;276;270,5;215,955573613767;69;104,9
"09.01.2012";375;271,3;265,8;218,421477447217;78;214,4
"16.01.2012";374,92;235,4;206,8;177,778935375778;69;160,4
"23.01.2012";374,92;273,4;235,4;218,653663318986;79,78;183,25
"30.01.2012";330;235,4;178;170,601697574893;75;134,2
"06.02.2012";376,9;289,8;283,9;225,683006692161;80,38;145
"13.02.2012";522,3;522,3;484,9;353,131499760422;83,18;169,1
"20.02.2012";480;323,3;299,1;260,818257972394;84;198,3
"27.02.2012";450;291,7;221;219,033220498354;84;187,4
"05.03.2012";550;242,7;176,3;197,06653008596;80;146,6
"12.03.2012";392;278;155,24;196,412447293447;82;118,65
"19.03.2012";391,75;281,6;154;191,419173333333;81,2;135
"26.03.2012";360;248,96;234;173,027099904853;79,3;93
"02.04.2012";550;223,98;223,9;167,794254911356;76,9;84,6
"09.04.2012";360;209;204,5;167,92593526892;74,1;81,025
"16.04.2012";389,8;188;168,6;193,211224586288;71,44;161
"23.04.2012";389,8;314,8;269,8;210,169486071085;70;146,6
