"date";"max";"efg";"ezgw";"gavg";"min";"median"
"27.06.2011";9210;1225;1035;1630,83425925926;500;975,35
"04.07.2011";3481;1653;1515;1533,47776726585;700;1494
"11.07.2011";2484,45;1841;1730,61;1725,89714693295;900;1589
"18.07.2011";2113;1996;1973;1887,00518623291;988;1750
"25.07.2011";1955;1938;1896;1837,24085510689;1150;1785
"01.08.2011";1780;1727;1723;1720,91451385627;1600;1719,5
"08.08.2011";1697;1690;1610;1592,97111215834;1400;1582
"15.08.2011";1509;1394,5;1326;1359,73637440758;1310;1328
"22.08.2011";1427;1388;1319,5;1298,75377714825;1117;1243
"29.08.2011";1310,05;1297;1288;1252,67011173184;1000;1234,5
"05.09.2011";1238;1230;1226;1200,25140449438;1027;1191,5
"12.09.2011";1160;1150;1147;1118,62023463163;1030;1110
"19.09.2011";1092;1084;1071,14;1059,48905589479;933;1053
"26.09.2011";1047;1039,4;999;999,822975517891;894;987,5
"03.10.2011";1098;1089;1020;1018,32334759867;894;977
"10.10.2011";1076,36;1065,8;1038;1023,05368171021;922;1004
"17.10.2011";1056,5;1032;1015;1014,02804819277;938;1004
"24.10.2011";999;988;982;977,342003853565;944;975
"31.10.2011";924;910;897,43;887,947169362512;838;885,415
"07.11.2011";834;805;800;800,805648635711;744;799
"14.11.2011";785;733;708,75;714,254180602007;613;707,125
"21.11.2011";861;690;684,8;698,024739336493;552;682,5
"28.11.2011";834;772;733;737,310588235294;588;725
"05.12.2011";796;763;744;739,953642384106;588;729
"12.12.2011";745;741;737;724,861954459203;648;726,25
"19.12.2011";716;713;689;684,921369995176;583;677
"26.12.2011";676;672;664;658,229966808914;599;657,5
"02.01.2012";632;615;611;609,805066921606;588;611
"09.01.2012";580;574;571;567,872552783109;540;570
"16.01.2012";543;524;514,7;515,138774533269;480;511,24
"23.01.2012";465;457;453;447,843137254902;378;453
"30.01.2012";387;382;377;372,404184498336;330;368,5
"06.02.2012";300;295;293;288,789674952199;221;291
"13.02.2012";224;199,25;184;176,992812649736;151;188,5
"20.02.2012";154,9;150;147;134,673679200381;90;129,18
"27.02.2012";150;110;108;102,030042313117;59;93
"05.03.2012";114;102,5;95;91,4917382999045;38;87,5
"12.03.2012";111,5;79,72;73;74,7000474833808;44;70,15
"19.03.2012";90;73,2;68;67,1837857142857;48;71
"26.03.2012";445,2;92;72;113,142483349191;39;62,13
"02.04.2012";501;381;173;218,543842836608;59;122
"09.04.2012";704;508;394,46;405,965540218943;89;340,94
"16.04.2012";538;500;487;449,696879432624;88;443
"23.04.2012";412;406;405;382,426032660903;144;350
"30.04.2012";436;383;340;338,816934720908;230;285
"07.05.2012";338;335;332;324,684486873508;222;330,85
"14.05.2012";347;343;311;298,011499760422;200;277
"21.05.2012";388;342;306;304,678705035971;198;291
"28.05.2012";428;389;362;352,190220517737;270;333
"04.06.2012";431;391;374;365,385714285714;289;356
"11.06.2012";493;399;379;379,592715231788;309;372
"18.06.2012";540;417;389;391,164863571087;295;388,5
"25.06.2012";565;440;420;421,686701372456;320;422
"02.07.2012";446;419;417;415,831427198462;337;416
"09.07.2012";365;361;360;349,82516509434;299;358,26
"16.07.2012";490;388;322;339,629811320755;251;287,34
"23.07.2012";500;416;364;368,341892534475;237;351
"30.07.2012";497;460;410;408,97463099631;302;396
"06.08.2012";551;516;422;438,695410292072;345;412
"13.08.2012";447;404,86;403;405,683499288762;381;403
"20.08.2012";396;371;368,76;361,08436329588;291;366
"27.08.2012";350;346;337;324,90780141844;257;323
"03.09.2012";400;389;309;325,047109004739;247;296,12
"10.09.2012";454;391;346;353,415018656716;277;336,12
"17.09.2012";453;411;391;377,883285984848;281,25;375,5
"24.09.2012";393;371;364;359,00350140056;289;361,5
"01.10.2012";458;370;345,87;349,826768867925;289;329
"08.10.2012";413,92;381;372;367,580816135084;305;371,5
"15.10.2012";401;375;369;363,755887894489;313;364
"22.10.2012";401;377;367;359,860528800755;300;355,77
"29.10.2012";368;357;352;349,663366336634;307;349
"05.11.2012";342;332;330;321,531382727702;272;318
"12.11.2012";297;291;289;284,901468498342;260;287
"19.11.2012";250;237;233;233,552336448598;217;232
"26.11.2012";199;189;186;183,659484777518;157;183,5
"03.12.2012";150;143;141;139,221292422129;109;139
"10.12.2012";107;99;98;96,6788693234476;67;95
"17.12.2012";248;95;69;95,5366651097618;39;65
"24.12.2012";611;314;178,46;245,567364990689;75;152,94
"31.12.2012";529;389;345;331,912264150943;125;314
"07.01.2013";560;397;369;349,30490425035;158;355
"14.01.2013";453;405;387;368,276605719644;146;376,5
"21.01.2013";535;398;368;362,875289754288;187;328
"28.01.2013";531,67;432,13;413;401,124719363891;267;396
"04.02.2013";577;458;451;435,333333333333;297;426
"11.02.2013";564;482;472;453,829817158931;340;447,25
"18.02.2013";547;505;485;468,146228597871;361;471
"25.02.2013";460,22;443;441;434,581224114128;367;438,5
"04.03.2013";376;359;355;350,438694638695;299;353
"11.03.2013";295;290,5;284;275,682391405885;194;274
"18.03.2013";512;262,5;228,52;254,609252336449;143;213,76
"25.03.2013";718;446;352;386,12832263978;188;325
"01.04.2013";911;620;569;556,194793119479;189;488,5
"08.04.2013";901;701;644;647,490504863363;380;622,5
"15.04.2013";947;828;777;743,148027842227;447;697
"22.04.2013";1201,5;911;892;868,163347358579;513;846
"29.04.2013";1182;1000;965;945,595505617978;688;915
"06.05.2013";1176;1019;994;964,985957149511;737;944
"13.05.2013";1022;986;980;946,946728971963;778;954
"20.05.2013";932;917;913;880,059534883721;748;877
"27.05.2013";848;803;795;795,395998138669;698;795
"03.06.2013";750;716;709;709,984952120383;640;706
